id,slug,name,description
161,no-free-lunch,No free lunch,"💭 Everything has its price 

Be sure you know what the price is and if you’re willing to pay it.

The things that are ""free"" might actually be the most expensive after all."
162,play-your-tape,Play your tape,"Practice does not make perfect. 
Only perfect practice makes perfect. 

If you're about to give a speech or you are getting ready for an important presentation, practice in your mind.

Practice how you feel, what you think and what you hear. So when it‘s showtime, all you have to do is play that tape."
163,come-prepared,Come Prepared,"💭 Whatever you do, come prepared for the task 

If you're called to fix a sink, make sure to bring your tools. 

Also make sure that you know what to do and how to do it."
164,rocking-chair-test,Rocking chair test,"💭 Project your life forward to age 90 and take the route that minimises regrets.

Use the Rocking Chair Test when you have to make an important decision. 

Picture yourself sitting in a rocking when you're 90 years old looking back upon your life. 

Ask yourself ""how happy will I be with the decision I am about to make?"
165,be-a-child,Be a Child,"💬 The secret of genius is to carry the spirit of the child in old age - Aldous Huxley.

Children are born without fear. They don’t know enough to fear anything. Fear is something they are taught. 

Children feel they can do anything they want and don’t have to do anything they don’t want. 

Their natural state is to be completely unafraid and completely uninhibited. 

Be more like a child. Play, experiment and be unafraid (within reason)."
166,live-lucky,Live Lucky,"💭 Attitude is King, Queen and Head of State 

Expect the best and good things will happen.

Make a habit of always expecting the best.

--
📖 The Serendipity Mindset: The Art and Science of Creating Good Luck // Dr Christian Busch

Expect the best and good things will happen.

Attitude is King, Queen and Head of State. 

Make a habit of always expecting the best."
167,skinny-doctor,Skinny Doctor,"🍏 If you want to lose weight speak to your skinny doctor. 

Only take advice from people who believe in what they are preaching."
168,who-not-how,Who not how,"📖 Who Not How: The Formula to Achieve Bigger Goals Through Accelerating Teamwork // Dan Sullivan

Instead of asking “How can I achieve this goal?” change the questions to “Who can help me achieve this goal?” 

“Who“ creates results, “How” creates problems

Often people get stuck on how to do things. It is much better to think about who you can team up with.

—-

Thinking about how is not where to start … think about what is important and why - you can figure it out on the way going there 

Reasons reap results 
Need the right story - change your story change your life // new beliefs happens for me to grow 

Leave your pain 
Change your story change your life"
169,sturgeons-law,Sturgeon‘s Law,"💬 Ninety-percent of everything is crud - Theodore Sturgeon

Sturgeon’s law states that 90% of everything is rubbish. 

If you dislike poetry, fine art, or anything, it’s possible you’ve only ever seen ""the rubbish version"". 

Continue looking. The great is rare."
170,clean-workspace,Clean Workspace,"💭 A workspace is not a place for storing things. It's a place for accomplishing things

Keep your desk and workspace bare. 

Treat every object as an imposition upon your attention, because it is. 

—— 

Physical discipline helps mental discipline.

Align your outer self with your inner self.

Cleaning your house helps clean your mind.
- Derek 66"
171,give-compliments,Give Compliments,"💭 Everyone is hungry for compliments, love and appreciation

Genuine compliments build relationships, improve communication, motivate people, and boost one's self-esteem and self-confidence.

Give more compliments."
172,anything-you-want,Anything You Want,"💬 You can get anything you want if you help other people get what they want - Zig Ziglar

📖 sive.rs/a Anything You Want - Derek Sivers

The thing you don't enjoy doing, someone else loves to do.

Find those people and let them do it.

Make sure you know what makes you happy, and don’t forget it."
173,boomerang-theory,Boomerang Theory,"💭 Treat others the way you want to be treated.

Viciousness you excuse in yourself, friends, or others will one day return to you, and then you won’t have an excuse. 

Remember, what goes around, comes around

--- 

Remember - If they’ll do it with you, they’ll do it to you."
174,time-travel,Time travel,You have a plan. A time-traveller from appears from the future and tells you your plan failed. Which part of your plan do you think is the one that failed? Fix that part.
175,protect-the-downside,Protect the downside,"💬 Trust your instincts, but protect the downside - Richard Branson

Whatever decision you are facing, think about the downside. 

Ask yourself, “what could go wrong?” 

If the downside or risk is big, make sure you have it protected."
176,never-eat-alone,Never Eat Alone,"💭 Having meals has historically been a communal activity. 

Always try to eat in company of others.
 
It’s a great opportunity to bond and it’s nicer that way. 

----

📖 Never Eat Alone: And Other Secrets to Success, One Relationship at a Time // Keith Ferrazzi

Having meals has historically been a communal activity. Always try to eat with someone. It’s a great opportunity to bond and it’s nicer that way."
177,take-chances,Take chances,"💬 Take Chances, Make Mistakes and Get Messy! - Ms. Frizzle

In order to learn, you will need to take risks. 

You will make mistakes. 

And just like little kids growing up and falling down, you can get dirty or messy."
178,be-a-shark,Be a Shark,"💭 If sharks stop swimming, they stop receiving oxygen - don't stop swimming 

Great white sharks can only breathe by swimming with their mouths open. 

The faster they swim, the more water is pushed through their gills. 

They swim or they die. Be a shark. Keep on keeping on."
179,less-but-better,Less but better,"💬 Weniger, aber besser - Dieter Rams

Often less is more. 
In design but also in life generally. 

Better to have one very good handbag than to have five not so good ones.

You will have better service, longer warranty and general durability.

Pursue less but seek better.

----

“Good design is as little as possible. Less, but better, because it concentrates on the essential aspects,  and the products are not burdened with non-essentials. Back to purity, back to simplicity.”
― Dieter Rams, Weniger, Aber Besser/Less But Better

----

At the end of the day you will also spend more. 
You will take better care of the better things"
180,kiss,KISS,"💬 If you can’t explain it to a six years old, you don‘t understand it well enough - Albert Einstein

It's hard to make things simple. 

But simple works best. 

(Acronym) Keep It Simple, Stupid."
181,sunk-cost-fallacy,Sunk Cost Fallacy,"💬 Don't throw good money after bad money 

Have you ever …📈 continued with a project long after you should have abandoned it? 💔 stayed in a relationship even after the point of no return? 🍿 sat through a bad movie only because you paid for the theatre ticket?

These are examples of the sunk cost fallacy

The core lesson is that any unrecoverable costs (“sunk” in the past) are irrelevant when deciding what to do next"
182,train-flees,Train flees,"💬 The man who thinks he can and the man who thinks he can't are both right - Confucius 

If you catch a flea and put it in a glass jar with no lid the flea will jump out.However, if you put a lid on it, the flea will jump up against the lid. The flea will get hurt and give up. They will jump just below the lid.If you take the lid off later the fleas can no longer jump out. They associate jumping high with pain.Most people are trained like fleas that can’t get out of the jar. They are capable of jumping higher, but over time they develop a psychological ceiling that they cannot overcome. The only thing stopping them is the way they think. In fact, everyone has the ability to perform at a higher level.

Take a leap - jump higher.
----

BELIEFS AFFECT PHYSIOLOGY
One of the greatest performances in the history of individual sports belongs to a runner named Roger Bannister. He was the first to run one English mile in under 4 minutes. Bannister is a perfect example of how belief and expecting a certain goal can lead to success.

In 1946, Bannister was studying medicine at Oxford University and spent all of his free time training for medium-distance running. At the time, everyone thought that running a mile in under 4 minutes was impossible. Bannister believed that it could be done and that it was just another record that could be beaten.

He participated in the 1952 Olympics as a gold medal favourite. Unfortunately, Bannister didn’t finish in the first three; he was very disappointed and considered giving up running. But since he loved the sport, he decided to keep trying and set an even more ambitious goal: he wanted to be the first to run an English mile in under 4 minutes.

With the help of his friends Chris Brasher and Chris Chataway, Bannister created a strategy to fulfill his goal. Brasher and Chataway had to maintain the speed necessary to break the record. However, since neither of them was able to run the full course at the necessary pace, they took turns leading the run.

In 1954 it was time to try the impossible and Bannister decided to do it on Iffley Road, England. Many spectators and photographers showed up. After take-off, Chris Brasher began to lead the race and set the pace. Bannister was right behind him and Chataway was third. Then Chataway started leading and setting the pace. Bannister was second, but 250 yards before the finish line he spurted ahead, crossed the finish line, and collapsed due to exhaustion."
183,stand-lay-spend,Stand - Lay - Spend,"If you stand in it or lay in it, spend money on it

It makes sense to spend money on good shoes and a good bed and mattress. 

If you’re not in one you’ll be in the other 

Things you use for a significant fraction of your life (for example your bed (1/3 of your life) are worth investing in."
184,dr-x,Dr. X,"💭 When facing a difficult decision, ask yourself: ""Who has successfully dealt with this kind of situation before?"" 

Ask yourself: ""What would person X do in my position?"" 

Better yet, reach out and ask them directly.

If that's not possible, read their books, watch their videos or listen to their talks."
185,delay-procrastination,Delay Procrastination,"💭 Procrastination comes naturally, so apply it to bad things. 

If you feel like binging on fast food, tell yourself you'll do it in an hour. 

In an hour, repeat. 

Much like our good plans fall apart while we delay them, so do our bad plans."
186,x-5-x-5-rule,x 5 x 5 Rule,"💬 Most people fail in life because they major in minor things - Tony Robbins 

Many people spend a lot of time thinking about unimportant things. Always ask yourself, will this matter in 5 years?

If it doesn’t matter in 5 years, don’t spend more than 5 minutes thinking about it."
187,pay-yourself-first,Pay yourself first,💭 Set aside a fixed amount that you want to save or invest before spending money on anything else - Rule #1 in The Richest Man In Babylon
188,deep-vs-wide,Deep vs Wide,"💭 Should you go deep or wide?

When you are starting out, go wide. 
Explore different options. 

Find out what you like and what you're good at. 

Once you know, go deep. 

Focus. Double down on that thing."
189,time-boxing,Time Boxing,"💭 Divide your day into small boxes of time and assign a certain amount of these ""boxes"" or increments to a given task

Benefits

Better manage your priorities by organising your schedule more realistically and forcing you to make decisions over what matters most.

Eliminate procrastination and increases focus as you only have limited time for your tasks. 

Increases efficiency by grouping similar tasks in a time block. Context switching between dissimilar tasks reduces productivity 

Gain a greater understanding of how long your tasks take to be completed. This will help with future scheduling and organisation.

How to get started 

#1 ListDivide a piece of ruled paper into two columns. On the left column allocate every two lines to each hour or 5-minute block of the day (whichever you prefer).

#2 Estimate & Plan Estimate the amount of time each task is going to take to complete. Write these tasks on the left column with their respective time blocks.

#3 Consider the unexpectedAdd buffer times or extra room around each time block to allow for adjustments or unexpected activities.
----

Before you start a task, decide how long your are going to spend on it. 

As soon as the time is up, stop working.

This will give you a feeling for how long you need for specific tasks.

A time limit will keep you focused."
190,know-your-audience,Know Your Audience,"💭 Think about who you’re speaking to and formulate your message accordingly

Use your audience as a filter to decide what to say and how to say it. 

A Doctor will have to speak differently to his patient than to a colleague. 

The patient will be missing the lingo and the background."
191,two-minute-mute,Two Minute Mute,"Give someone two uninterrupted minutes to explain their thinking. 

Only after that you can jump in with your thoughts.  

This gives people enough time to explain and not be drowned out."
192,take-shots,Take Shots,"You miss 100% of the shots that you don’t take.

Not trying is worse than trying and not succeeding.

Just take a shot."
193,skip-and-revisit,Skip and Revisit,"If something is not going anywhere. Stop doing it and revisit it later.

This can be valuable when working on a task that you are stuck. Rather than wasting time trying to figure it out, move on to the next task. Similarly if you’re having a meeting or argument that does not seem to come to a conclusion. Simply suggest to stop and postpone it. 

Often a bit of time and a fresh pair of eyes and ears works wonders."
194,tell-ten,Tell Ten,"Tell your idea or concept to ten people. If it spreads, it works. If it doesn't, go back to the drawing board.You can also stress test your ideas or plans like this. If the majority of points our a certain flaw in your thinking it may be worth exploring it."
195,first-principles,First Principles,"💭 Break down complicated problems into basic elements and reassemble them from the ground up

Ask yourself: what are all the things I know for a fact to be true? 

Then reconstruct these building in a more efficient, better way

Deconstruct then reconstruct. 

_____
This enables people to spot potential opportunities that have been overlooked by others due to faulty reasoning or shallow comparisons.
__
https://fs.blog/first-principles/

---

💭 First-principles thinking boils things down to the most fundamental truths 

Ask yourself, what am I sure is true?” … and then reason up from there. 
 
---

Elon Musk described this as follows:

Somebody could say, “Battery packs are costly, and that’s just the way they will always be… Historically, it has cost $600 per kilowatt-hour. It’s not going to be much better than that in the future.”
 
With the first principles, you say, “What are the material constituents of the batteries? 
What is the stock market value of the material constituents?”
 
It’s got cobalt, nickel, aluminium, carbon, some polymers for separation, and a sealed can. 

Break that down on a material basis and say, “If we bought that on the London Metal Exchange, what would each of those things cost?”
 
It’s like $80 per kilowatt hour. So clearly, you just need to think of clever ways to take those materials and combine them into the shape of a battery cell, and you can have batteries that are much, much cheaper than anyone realizes."""
196,tell-the-truth,Tell the Truth,"""Protecting"" people by not telling them something is like letting kids grow up into adults believing in the Tooth Fairy or Santa Clause.

Telling the truth empowers people around you to change and grow. People cannot change what they are unaware of. Not telling someone a truth keeps them in the dark. Remember you can say almost anything, as long as you say it nicely, respectfully and considerately."
197,constant-control,Constant Control,"💭 You always have the power to choose how you respond

You may be in a situation where you don’t control anything. 

However, you always control is how you think and what to do about it.

When something happens that you don’t like: Ask yourself, is it really that bad OR how is this a good thing?"
198,repeat-to-reassure,Repeat to Reassure,"💭 Repeat in your own words to avoid miscommunication

By repeating what someone said in your own words, you can make sure that what you understood is also what they said and meant."
199,set-expectations,Set Expectations,"If others know what to expect they can self select. 

If you know the movie is scary people who don’t like scary movies will not bother going.

Setting expectations eliminates unpleasant surprises."
200,sleep-on-it,SLEEP ON IT,"💭 If you are facing a big decision, take a night and sleep on it

Being able to sleep on a decision gives you more time to think about it. However, it also gives you a chance to not think about the issue for awhile. 

Take time, relax your mind and get rest. When you wake up the next day you can think about the issue again and make a better decision.

Most big decisions don’t need to be made in the heat of the moment."
201,not-a-donkey,NOT A DONKEY,"💭 If five people call something a horse, it’s not a donkey.

When making a critical decision, take a poll of five of your most trusted mentors. 

These people will generally lead you to the appropriate outcome."
202,rise-and-shine,Rise And Shine,"💬 Early to bed and early to rise makes a man healthy, wealthy and wise - Franklin D. Roosevelt 

A healthy sleep routine improves your mood, health and mental performance. 

sleepfoundation.org recommends between 7 and 9 hours for adults. 

Make sleep a priority today:

Stick to the same sleep schedule every day, even on weekends

Practicing a relaxing pre-bed routine to make it easier to fall asleep quickly.

Choosing a mattress that is supportive and comfortable, and outfit it with pillows and bedding you like

Minimise potential disruptions from light and sound while 

Optimise your bedroom temperature and aroma.

Disconnect from electronic devices like mobile phones and laptops for a half-hour or more before bed

Carefully monitor your intake of caffeine and alcohol and try to avoid consuming them in the hours before bed"
203,done-beats-perfect,Done Beats Perfect,"💬 If you are not embarrassed by the first version of your product, you've launched too late - Reid Hoffmann 

Getting your creation out into the world is more important than getting it perfect.

Actions speak louder than words. So put your words to action."
204,discipline-beats-motivation,Discipline Beats Motivation,"💭 Discipline beats motivation every day of the week

Discipline is superior to motivation. 

The former can be trained, the latter is fleeting. 

You won’t be able to accomplish great things if you’re only relying on motivation.

Discipline will push you through the rainy days, which will undoubtedly come.

Be motivated but stay disciplined."
205,kill-criticism,KILL CRITICISM,"💭 Stop criticising and praise instead

Everyone has a reason for doing things. 

In their mind they are doing right, they always have a justification.

Focus on what they are doing well and you will get more of that."
206,dr-no,Dr. No,"💭 Time is the only thing you cannot get back, spend it wisely

Saying NO is the ultimate productivity hack.

There's no faster way to be done with a task than not doing it."
207,road-not-wall,ROAD NOT WALL,"In competitive auto racing, they teach drivers to “focus on the road, not the wall.” 

Look at the wall and you’ll crash. To win, you need to keep your eye where you want the car to go."
208,1440-minutes,1440 MINUTES,"That’s what you get 
Every day
Non transferable 
Non Saveable
Use them or lose them"
209,handshake-overhead,Handshake Overhead,"💭 Law of more people n*(n – 1)/2

Two people need one handshake to be introduced. 

On the other hand, 9 people need 36 handshakes. 

More people involve more meetings, more approvals, more coordination.

If you want to move fast, keep the team small."
210,dont-be-crazy,Don't Be Crazy,"💬 Insanity is doing the same thing over and over and expecting different results - Albert Einstein

Learn from your mistakes.

If you have not succeeded with a certain strategy in the past, ask yourself

“What's different, what changed, why should it work now“?

If you don’t have a good answer, don’t repeat the old strategy again."
211,anything-is-everything,Anything Is Everything,"💭 How you do anything is how you do everything

In any area of your life this will most probably be true and transferable.

If you pay attention to detail you tend to pay attention to detail in every situation.
If you are honest and loyal you tend to be honest and loyal in all areas of your life."
212,one-new-thing,One new thing,"💭 Learn or experience one new thing every week

Trying new things gives you a dopamine hit (feel good chemical) and makes you feel rewarded. 

Fear is often the biggest barrier to trying new things. 

To get around this, start small. Make a plan and prioritise fun.

If you do one new thing every week you’ll have had done 52 new things in one year."
213,ask-better-questions,Ask Better Questions,"💭 The quality of your life is determined by the quality of the questions you ask

The better the questions you ask, the better the answers you will receive. 

Asking ""why can't I lose weight?"" is not as empowering as ""how can I lose 5KG?""

---

Play around with Artificial Intelligence on openai.com
The better your input / questions, the better your output (AI generated image or text)"
214,learning-not-failure,Learning Not failure,"💬 I have not failed. I've just found 10,000 ways that won't work - Thomas A. Edison 

When you build upon something that has not worked, you have not failed. 

Many things in life are trial and error. 

As long as you learn you have not failed.

---

Learning is the product of a continuous real-time feedback loop in which we make decisions, see their outcomes, and improve our understanding of reality as a result - Ray Dalio


Google is currently the largest search engine in the world and they continuously build, kill and learn from new projects 🔗 Killed by Google (website)"
215,what-changed,WHAT CHANGED,"💭 If it didn't work before, what changed?

If you want to do something that has previously not worked ask yourself.

How is the current situation different , why do you deviate from the statistics. It’s fully possible but you have to think about it"
216,ask-dont-tell,"Ask, Don't Tell","💬 Those convinced against their will are of the same opinion still - Samuel Butler

Instead of imparting knowledge directly, ask probing, thought-provoking questions. 

The greek philosopher Socrates believed that we hold the answers within us. 

We just need to be asked the right questions to expose them. 

This is known as the Socratic Method."
217,bound-by-big,Bound By Big,"🌐 Narcissism of small differences - Sigmund Freud

Don’t let differences in little things divide you when agreement on the big things should bind you. 

---

Groups tend to argue about the little things"
218,metaphor-not-memorisation,METAPHOR NOT MEMORISATION,"💭 Memorisation is brittle. Metaphor scales. - Seth Godin

Metaphor, not memorisation, is the key to learning. If you understand A, and B is like A but a little different, then you understand B.

Metaphors help us move from A to B and find our orientation when encountering something new.

Understanding metaphor is a skill. 

We can get better at it. 

Find something difficult and decode it.

Human thinking depends on metaphor. We understand new or complex things in relation to things we already know. For example, it's hard to think about life in general, but once you apply the metaphor ""life is a journey,"" the metaphor guides you to some conclusions: You should learn the terrain, pick a direction, find some good traveling companions, and enjoy the trip, because there may be nothing at the end of the road."""
219,dont-die,Don't Die,"💬 All I want to know is where I'm going to die so I'll never go there - Charlie Munger

Sometimes it is more important to know what not to do than to know what to do."
220,chisoku,Chisoku,"🇯🇵 Chisoku (Japanese) To feel sufficient. To be satisfied with what you have.

Enough is a choice. And choices are deeply personal.

So if you decide you have enough, then you do."
221,two-pizza-rule,TWO PIZZA RULE,"In the early days of amazon, Jeff Bezos instituted a rule: every internal team should be small enough that it can be fed with two pizzas. It was, like almost everything Amazon does, focused on two aims: efficiency and scalability. The former is obvious. A smaller team spends less time managing timetables and keeping people up to date, and more time doing what needs to be done. But it’s the latter that really matters for Amazon."
222,asap,ASAP,"☝️ As Soon As Possible 

When someone asks you to do something ""As Soon As Possible"" - beware. 

Before you jump onto the task by focusing on “soon”, take a step back and think about “possible”."
223,four-thousand-weeks,Four Thousand Weeks,"💭 If you live to be eighty, you have just over four thousand weeks

How do you want to spend those weeks? With whom? 
And Where?

---
📖 Four Thousand Weeks: Time Management for Mortals - Oliver Burkeman

The average human lifespan is brief. If you live to be eighty, you have just over four thousand weeks.

How do you want to spend those weeks? With whom? And Where?

For a visualisation check out Tim Urban's Blog Post
🔗 https://waitbutwhy.com/2014/05/life-weeks.html"
224,hindsight-insight,Hindsight Insight,"💬 The most fertile source of insight is hindsight - Morris Kline

If you want to make better decisions in the future you need to understand the past. 

History repeats itself."
225,placebo-effect,PLACEBO EFFECT,"💭 When a person's condition improves because they think a treatment will work, even if the treatment is not actually powerful

Placebos change the story we tell ourselves. 

And those stories are powerful. 

They can alleviate pain, make wine taste better and even grow hair."
226,efficient-vs-effective,Efficient vs Effective,"💬 There is nothing so useless as doing efficiently that which should not be done at all - Peter Drucker 

Efficient means doing things right while effective means doing the right things. 

First be effective. Only after that optimise for efficiency."
227,the-last-time-last-time-principle,THE LAST TIME / Last Time Principle,"💭 If you always do things as if it is the last time, at some point it will be

Long before you die, you will stop having certain experiences. 
Experiences that you take for granted now.

However, you rarely know when you will be doing something for the last time. 
When is the last time you will go camping?
When is the last time you will stay up all night talking to a friend 
If you’re a parent, when is the last time you will tuck in your child and read a bedtime story?

Cherish those moments because each one of them are priceless."
228,good-blocks-great,Good Blocks Great,"💭 Don't settle for less just because it's available

Think carefully how you want to invest your time. 

If you commit to something that is only good you are blocking yourself from being able to do something that is great."
229,parkinsons-law,PARKINSON’S LAW,"💭 Work expands so as to fill the time available for its completion

If you give yourself five hours to complete a task, it will take you five. 

If you only give yourself one hour for the same task, it will only take you one."
230,find-a-compass,Find a Compass,"💭 If you’re stuck, find a compass, not a map

A map gives you directions from A to B, but a compass will help you find true north wherever you are. 

Sometimes we get so wrapped up in the outside world that we don’t focus on what we like but on what we’d like to like.

Passion pull you toward your current interests. Values point you toward a future purpose.

Following your passion is a luxury. Following your values is a necessity.

Passion brings immediate joy. Values give lasting meaning.

.Take a free test to identify your most important values 🔗 www.personalvalu.es"
231,spin-the-spinner,SPIN THE SPINNER,"💭 When you have too many options, make a spinner and spin it 

Sometimes, when there are too many similar choices, choose one and start. It may be easier to reason why you chose that the one than it is to choose the “right one“. 

Sometimes you just have to start. Spin the spinner."
232,play-backgammon,PLAY BACKGAMMON,"---

🇮🇷 Backgammon (in persian ""tachte nard"") is the game of life

Persians say that the backgammon board is our life and the dice are our fate. The checkers have two colors (back and white) representing day and night. 

The thirty checkers represent the days of a month. 

On each side of the board there are 12 fields, representing the months and the quadrants on the board represent the four seasons.  

Backgammon teaches that not everything will work. We don’t have to fear defeat. Not everything is in our power. We can’t always only roll double six. 

It also teaches that life means community. If you leave a checker alone it is vulnerable. We are stronger when we are together.

Play backgammon and remember…

As in life, we try our best and hope for the optimal result. However, we cannot control everything. Some things depend on luck, the environment or other factors."
233,hard-part-first,Hard Part First,"💭 Do the hard part first. If the hard part doesn't work, nothing will.

Imagine you want to promote a cheese-juggling mouse on a pedestal. 

Don't waste time engineering the pedestal. The hard part is training the mouse. 

For any project, ask yourself, what is the hard part? And do that first."
234,build-straw-men,Build Straw Men,"💭 Create a straw man draft and knock it down to rebuild something better 

The idea behind the “Straw Man” is to create a first draft for criticism and testing. 

Use the feedback to develop subsequent iterations to get a rock solid final outcome."
235,others-mistakes,OTHERS' MISTAKES,"💭 Learn from the mistakes of others. You can’t live long enough to make them all yourself - Elenor Roosevelt 

Most things have been done before. 

There are countless books and videos discussing how and why failures occurred. 

Before beginning a project, consider whether it’s been done before and apply the lessons learned.

--

Learn valuable lessons from others.  

Don’t reinvent the wheel."
236,ask-for-help,Ask For Help,"📖 The Boy, the Mole, the Fox and the Horse by Charlie Mackesy

What is the bravest thing you've ever said? asked the boy.

'Help,' said the horse.

'Asking for help isn't giving up,' said the horse. 'It's refusing to give up.

- Charlie Mackesy"
237,cut-comparing,Cut Comparing,"📖 The Boy, the Mole, the Fox and the Horse by Charlie Mackesy

What do you think is the biggest waste of time?""

""Comparing yourself to others"", said the mole.

- Charlie Mackesy

----

Focus on yourself. You are the only one you can change. So run your race (https://www.happyhabits.art/p/run-your-race)"
238,measure-of-value,MEASURE OF VALUE,"📖 The Boy, the Mole, the Fox and the Horse by Charlie Mackesy

""Don't measure how valuable you are by the way you are treated,"" said the horse.

- Charlie Mackesy

Value yourself and treat yourself how you wish to be treated. Others will follow."
239,the-greatest-freedom,THE GREATEST FREEDOM,"📖 The Boy, the Mole, the Fox and the Horse by Charlie Mackesy

One of our greatest freedoms is how we react to things.

- Charlie Mackesy

It's not what happens to you that matters but how you respond to it."
240,the-greatest-illusion,THE GREATEST ILLUSION,"📖 The Boy, the Mole, the Fox and the Horse by Charlie Mackesy

The greatest illusion,"" said the mole, ""is that life should be perfect.

- Charlie Mackesy

Not everything in life is going to go according to plan and that is okay."
241,top-three-things-ttt,TOP THREE THINGS (TTT),"💭 What are the three best things you did today, this week, this month or this year

Ask yourself “What are the best three things you did this year?” 

What made them “the best”? 

And what can you do to get more of this? 

☝️ Take a few minutes to do this now 

This method can also be used for things and events in the future. 

What are you most looking forward to?

Why are looking forward to this? 

How can you create more of this in your life?"
242,gratitude-gateway,Gratitude Gateway,"💭 If you want to be happy, be grateful 

Think of someone you are grateful for and send them a handwritten letter, text message, voice note or give them a call.

Alternatively, take a moment and think of all the things you are grateful for.

___
🍿 TED Talk on Gratitude (under 10 minutes) https://youtu.be/gXDMoiEkyuQ

If you want to be happy? Be grateful. 

Think of someone you are grateful for and send them a 📝 handwritten letter 💬 text message 🎤 voice note or ☎️ give them a call

Meditate on your relationships with your family, friends and coworkers by asking these three questions:

What have I given to this person?

What have I received from this person? 

How can I change the way I show gratitude to this person?

 💭 Take a moment and do it now"
243,zettelkasten,ZETTELKASTEN,"🗳 Zettelkasten (German: ""slip box"", plural Zettelkästen) 

A Zettelkasten or card file is a method to manage knowledge.  

Take ideas from books, articles or conversations 

Write these ideas on note cards 

Collect them in a central database (digitally) or a “Zettelkasten“ (physically) 

Link them together and start finding larger relationships between concepts you’re learning

☝️ This is how the idea for happy habits initially started - our personal Zettelkasten"
244,north-star,NORTH STAR,"💭 A north star is like an invisible mentor ready to guide you every step of the way

Identify 3–5 significant areas of your life. It can be your career, relationships, finances, and others. 

Imagine the ideal situation in each of these areas.

With this guideline as your north star for that area of your life, every time you need to make a choice, it's there to guide you towards the right one.

----

If you have 15–30 mins right now, try setting at least one north star principle."
245,two-not-three,TWO NOT THREE,"💭 Give people a second chance, but not a third

Everybody makes mistakes. People deserve a second chance. But if they mess up both chances it’s no longer an accidental mistake. It becomes deliberate."
246,teach-to-learn,TEACH TO LEARN,"💭 You only really understand something if you can teach it to someone else

If you’re learning a new skill, take any opportunity to teach it to someone else. 

It’s a nice thing to do and it will also improve your learning 

https://www.tatianamac.com/posts/why-beginners-should-teach/"
247,no-nay-sayers,No Nay Sayers,"💬 First they ignore you, then they laugh at you, then they fight you, then you win - Ghandi

When zippers began replacing buttons, there were those who resisted the change because they believed zippers were sinful: they made it easier to disrobe.

Even light-bulbs (light at night is not the way god intended!) or mirrors (think of the vanity that will ensue!) were viewed sceptically by some.

There will always be people who won’t welcome change. 

Don’t let that discourage you.

------

Elevator person and then recording human voice going up 

1% problem - Walz Warning  
https://www.jasonfeifer.com/

Teddy Terror 🧸 
Church natural end of human race"
248,gamblers-fallacy,Gambler's Fallacy,"💭 We often feel we're owed luck for being unlucky

""The coin was heads 10 flips in a row, the next flip has gotta be tails!"" 

But probability has no memory. 

It won't make amends for its past behaviour. 

Therefore, treat every possibility independent of the past."
249,veblin-good,VEBLIN GOOD,"☝️ A type of luxury good for which the demand increases as the price increases

We often attach value to things simply because they're hard to get. People will be more attracted to $3 million painting than a $3 painting. The price becomes a feature of the product. It allows the buyer to signal affluence to others."
250,challenge-first,Challenge First,"💭 The next time you want to buy something, set a challenge first

For example, commit to running every single day for a month before buying that new running outfit. 

This way you will have something to look forward. 

You will also feel proud and like you’ve earned it."
251,wu-wei,WU WEI,"🇨🇳 (Chinese: 無為; pinyin: wúwéi) is an ancient Chinese concept literally meaning ""inexertion"", ""inaction"", or ""effortless action"" 

“Wu Wei is the art of sailing rather than the art of rowing … The river is not pushed from behind, nor is it pulled from ahead. It falls with gravity.”  - Alan Watts

Wu Wei means not forcing. It is the art of getting out of one’s own way."
252,let-go-lending,LET GO LENDING,"💭 Only lend things you never care to see again

If you have trouble lending things to others, lend only those things that you don’t mind not seeing again. 

That way you won’t be chasing people for them back.

You may also want to make a habit of gifting things. 

If someone asks you to borrow a book, gift it."
253,yin-yang,YIN & YANG,"🇨🇳 Chinese terms yīn 陰 ""dark side"" and yáng 陽 ""white side""

This Chinese philosophical concept describes opposite but interconnected forces.

Everything contains the seed of its opposite. 

🍿 Watch this TED Ed Talk for an explanation in under 5 minutes https://youtu.be/ezmR9Attpyc

* Business - if banks are bad, make a good bank"
254,make-magical-moments,MAKE MAGICAL MOMENTS,"💭 Make magical moments. Randomly. Every day.

Magical moments are unexpected acts of kindness. 

Cast members at Disney Land are given opportunities to give families a special memory they will never forget.

Magical moments come in all sizes. From giving a child a Mickey sticker, to upgrading your resort hotel room. 

✔ Make one magical moment today"
255,eight-minute-call,Eight Minute Call,"💭 Call someone you love, miss, and wish you connected with more often

Text them and propose an eight minute phone call — ideally today, or sometime this week. 

We tend to think that in some unspecified future, we’ll have a ‘time surplus,’ to connect with old friends. However, this may never come. Pick up the phone and invest the time right now. 

- Dr. Bob Waldinger, professor of psychiatry at Harvard Medical School

---
💭 Call someone you love, miss, and wish you connected with more often

Text them and propose an eight minute phone call — ideally today, or sometime this week. 

Copy & paste the following:

Hi! This Happy Habit made me think of you. Want to schedule an eight-minute phone call this week?

Most busy people tend to think that in some unspecified future, they’ll have a ‘time surplus,’ where they’ll be able to connect with old friends. However, this may never materialise, so pick up the phone and invest the time right now. 

- Dr. Bob Waldinger, professor of psychiatry at Harvard Medical School

**Inspired by The New York Times Happiness Challenge"
